t_start,delta_t,n_at_risk,n_new_deaths,smear_status,cohort_id,mu,mu_sd,start_year,end_year
1,1,546,101,positive,50,0.011329057,0.001,1933,1934
0,1,968,411,positive,51,0.010857767,0.001,1934,1935
0,1,1383,586,positive,52,0.008190595,0.001,1930,1931
1,1,797,195,positive,52,0.008190595,0.001,1930,1931
2,1,602,95,positive,52,0.008190595,0.001,1930,1931
3,1,506,51,positive,52,0.008190595,0.001,1930,1931
4,1,455,53,positive,52,0.008190595,0.001,1930,1931
0,1,1342,570,positive,53,0.008777715,0.001,1931,1932
1,1,772,162,positive,53,0.008777715,0.001,1931,1932
2,1,609,98,positive,53,0.008777715,0.001,1931,1932
3,1,511,63,positive,53,0.008777715,0.001,1931,1932
0,1,1398,624,positive,54,0.008477092,0.001,1932,1933
1,1,774,136,positive,54,0.008477092,0.001,1932,1933
2,1,639,89,positive,54,0.008477092,0.001,1932,1933
0,1,1205,543,positive,55,0.008672137,0.001,1933,1934
1,1,662,133,positive,55,0.008672137,0.001,1933,1934
0,1,1057,467,positive,56,0.008158414,0.001,1934,1935
0,4,166,92,positive,59,0.004023291,0.001,1916,1935
4,6,74,26,positive,59,0.004023291,0.001,1916,1935
10,10,48,7,positive,59,0.004023291,0.001,1916,1935
0,4,213,145,positive,60,0.003731842,0.001,1916,1935
4,6,68,14,positive,60,0.003731842,0.001,1916,1935
10,10,54,6,positive,60,0.003731842,0.001,1916,1935
